[Header]
TITLE,H20250604(P250415 HPHT 475C 6GPa 3.5h YBCO7).dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,8.45,MASS:Sample Mass (mg)
INFO,0.05,MASSERR:Sample Mass Error (mg)
INFO,666.22,MOLWGHT:Formula Weight (g/mole)
INFO,13,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
20726073.66,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1218.cal|Addenda #28 measured on 6/3/2025 from 1.976 to 298.86 K
20726073.81,,5905,2.00152,1.9738,-0.696,9.4E-6,1.9923649,0.022030246,34.165258,0.2407,0.19406856,0.001488,0.62740355,0.001657,0.58867607,0.37556407,0.0021662483,97.302624,180.17827,0.5846,1,,,,1.6927851E-6,0.74644968,3.969518,17.148092,0
20726098.47,,5905,2.00215,1.9742,-0.696,9.3E-6,1.9931157,0.022090642,34.106237,0.2369,0.19426461,0.001487,0.626851,0.001573,0.62615834,0.37453452,0.0021494982,97.319029,180.35008,0.5741,1,,,,1.6957661E-6,0.75112814,3.9725103,17.11202,0
20726123.53,,5905,2.00119,1.9732,-0.696,9.3E-6,1.992341,0.021946887,34.218162,0.2397,0.19403906,0.001488,0.62804504,0.001628,0.3457877,0.36989428,0.0019875355,97.485421,180.08321,0.58,1,,,,1.7189331E-6,0.74906904,3.9694226,17.174852,0
20726420.56,,5905,2.17046,2.1461,-0.696,9.3E-6,2.1575479,0.022354573,35.958719,0.2603,0.24181526,0.001356,0.6978976,0.001334,0.87050568,0.36257335,,,191.81719,0.6444,1,,,,1.9248453E-6,0.73978856,4.6550131,16.666475,0
20726444.88,,5905,2.16983,2.1454,-0.696,9.4E-6,2.15619,0.022705072,35.852157,0.2433,0.24138103,0.001356,0.69611179,0.001512,0.6785069,0.36998441,0.0022082965,97.374473,191.8862,0.591,1,,,,1.903242E-6,0.72514669,4.6491555,16.62755,0
20726484.91,,5905,2.16869,2.1444,-0.696,9.4E-6,2.1555893,0.022339317,35.912644,0.2575,0.24121545,0.001357,0.6967134,0.001251,1.6139147,0.36196815,,,191.72498,0.6366,1,,,,1.924792E-6,0.73996883,4.6465652,16.660244,0
20726775.81,,5905,2.35012,2.3251,-0.696,9.1E-6,2.3316772,0.022198558,41.961804,0.3312,0.29769143,0.001431,0.82991389,0.002781,3.0221631,0.37368709,0.0017414579,97.981087,196.89995,0.7302,1,,,,2.2397881E-6,0.72393629,5.4367188,17.996403,0
20726800.28,,5905,2.34929,2.3244,-0.696,9.1E-6,2.3306822,0.022748918,41.872331,0.3357,0.29744719,0.00143,0.82853481,0.002873,11.389027,0.38677381,0.0043437062,95.157469,196.95601,0.7424,1,,,,2.1874799E-6,0.74737419,5.4320793,17.965698,0
20726824.8,,5905,2.34855,2.3236,-0.696,9.4E-6,2.3302405,0.02318657,41.758398,0.3273,0.29728143,0.00143,0.82692399,0.002723,8.0907036,0.38572497,0.0045535674,94.914886,197.09761,0.7255,1,,,,2.1915114E-6,0.77354761,5.4300209,17.920209,0
20727117.88,,5905,2.54403,2.521,-0.696,9.3E-6,2.5221524,0.023749543,47.682761,0.3758,0.36695042,0.001694,0.97173462,0.003149,19.971042,0.41082602,0.0026781673,97.242758,204.10142,0.7556,1,,,,2.3914699E-6,0.77144995,6.3612529,18.905583,0
20727142.13,,5905,2.54282,2.5201,-0.696,9.3E-6,2.521889,0.024718614,47.601603,0.3762,0.36683098,0.001694,0.97058581,0.003164,16.726188,0.41166952,0.0026189001,97.30989,204.19602,0.7583,1,,,,2.3830656E-6,0.82165205,6.3599241,18.875376,0
20727166.36,,5905,2.54222,2.5193,-0.696,9.4E-6,2.5208891,0.024793247,47.410393,0.3715,0.36651628,0.001693,0.9678459,0.003088,9.8852706,0.41891299,0.0055142137,94.469927,204.3891,0.7519,1,,,,2.3632945E-6,0.82333904,6.3548821,18.807012,0
20727468.59,,5905,2.7526,2.7338,-0.696,9.3E-6,2.7255557,0.026073763,52.610381,0.3843,0.45358061,0.00197,1.1208643,0.002858,6.4089216,0.43558738,0.0024580665,97.673093,213.44842,0.7251,1,,,,2.5950761E-6,0.83782598,7.4286539,19.302625,0
20727493.33,,5905,2.75204,2.7332,-0.696,9.3E-6,2.7252165,0.026689123,52.623339,0.3906,0.45341297,0.00197,1.120861,0.002992,3.6673385,0.43622916,0.0024717611,97.663341,213.40433,0.739,1,,,,2.5913557E-6,0.87117476,7.4268048,19.309783,0
20727517.75,,5905,2.75152,2.7326,-0.696,9.3E-6,2.7243167,0.026760633,52.594807,0.389,0.45310987,0.001969,1.120196,0.00296,9.7916478,0.44686945,0.005723262,94.75942,213.37245,0.7357,1,,,,2.556578E-6,0.87245832,7.4219016,19.305687,0
20727827.53,,5905,2.97981,2.9632,-0.696,9.3E-6,2.9461691,0.028456073,56.885313,0.4124,0.56418836,0.002365,1.2856931,0.003022,4.3743442,0.46644572,0.0055293314,95.267681,224.79467,0.7566,1,,,,2.8000062E-6,0.89373891,8.6799121,19.308231,0
20727852.7,,5905,2.97886,2.9621,-0.696,9.4E-6,2.9461005,0.029205219,56.967526,0.4183,0.56397928,0.002364,1.2865268,0.003141,5.2013777,0.45830376,0.0019279481,98.301945,224.68126,0.7681,1,,,,2.8225086E-6,0.93289143,8.6795081,19.336586,0
20727877.66,,5905,2.97843,2.9619,-0.696,9.4E-6,2.945402,0.028944791,56.665663,0.4177,0.56362615,0.002363,1.282345,0.00316,8.9870864,0.45877275,0.0021971482,98.069651,225.02615,0.7729,1,,,,2.8125304E-6,0.91660752,8.6753929,19.238686,0
20728191.59,,5905,3.22507,3.2109,-0.696,9.4E-6,3.1856364,0.030254559,60.772538,0.4502,0.70472888,0.002893,1.4755372,0.003436,1.5439489,0.4772681,0.0017231033,98.562344,237.76915,0.8214,1,,,,3.1039828E-6,0.91754549,10.148279,19.077048,0
20728217.31,,5905,3.22453,3.2102,-0.696,9.1E-6,3.1851957,0.030991394,60.871471,0.449,0.70462868,0.002892,1.4766919,0.003401,2.9100834,0.4907187,0.0058703327,95.304608,237.6074,0.8167,1,,,,3.0502672E-6,0.95453621,10.145472,19.110747,0
20728242.53,,5905,3.2243,3.2101,-0.696,9.4E-6,3.1850961,0.031494361,60.848883,0.4529,0.70456658,0.002892,1.4763433,0.003486,3.8541082,0.49217676,0.0062943463,94.987484,237.62936,0.8256,1,,,,3.0434465E-6,0.9814374,10.144837,19.104254,0
20728561.92,,5905,3.49089,3.4774,-0.696,9.4E-6,3.4452135,0.032990774,65.37725,0.5028,0.88560054,0.003517,1.7148128,0.004073,1.4500887,0.50836738,0.0010758992,99.156327,250.95878,0.9047,1,,,,3.3799015E-6,0.98435352,11.869496,18.976255,0
20728587.84,,5905,3.4902,3.4767,-0.696,9.4E-6,3.4447072,0.032889927,65.826898,0.5793,0.88536381,0.003516,1.7202791,0.004149,1.714068,0.50392764,,,250.34927,1.035,1,,,,3.4137424E-6,1.0167348,11.866008,19.109577,0
20728613.38,,5905,3.48983,3.4765,-0.696,9.3E-6,3.4439669,0.033335699,65.29282,0.4999,0.88491904,0.003515,1.7130604,0.004023,1.242227,0.51826428,0.0061464863,95.366239,250.97606,0.9003,1,,,,3.3433696E-6,1.0078553,11.860908,18.958608,0
20728944.47,,5905,3.7773,3.7682,-0.696,9.3E-6,3.7274254,0.035145936,70.963966,0.5207,1.110844,0.003683,2.0109153,0.003905,1.6221778,0.55070542,0.0062417698,95.53725,264.19511,0.9019,1,,,,3.6860938E-6,1.0365286,13.8937,19.038333,0
20728970.05,,5905,3.77703,3.7679,-0.696,9.4E-6,3.7278988,0.036454317,70.782519,0.5221,1.1113375,0.003681,2.0091074,0.003955,1.8063773,0.55010612,0.0061534932,95.592969,264.45425,0.9087,1,,,,3.686222E-6,1.1014108,13.89723,18.987242,0
20728995.73,,5905,3.77665,3.7675,-0.696,9.4E-6,3.7275538,0.036442682,70.664189,0.5196,1.1110623,0.003682,2.0073314,0.003912,2.2622825,0.5507352,0.0065102477,95.349076,264.57729,0.906,1,,,,3.6806931E-6,1.1002122,13.894657,18.957255,0
20729331.98,,5905,4.0897,4.0798,-0.696,9.4E-6,4.0346228,0.037766545,77.179405,0.5406,1.3898716,0.003281,2.3687765,0.003669,1.9956884,0.59086007,0.0067495569,95.429498,278.0771,0.8954,1,,,,4.0422042E-6,1.1014704,16.278181,19.129274,0
20729357.94,,5905,4.08899,4.0794,-0.696,9.3E-6,4.0350083,0.039437526,76.923507,0.5374,1.3904643,0.003282,2.3661234,0.003624,3.1453493,0.59041509,0.0069171224,95.313415,278.41169,0.8933,1,,,,4.0414644E-6,1.1817201,16.281292,19.064027,0
20729383.86,,5905,4.08877,4.0792,-0.696,9.3E-6,4.0345976,0.039419781,77.102779,0.5377,1.3900514,0.003281,2.3679843,0.003609,1.941167,0.59132889,0.0067591414,95.425952,278.16744,0.8903,1,,,,4.0376323E-6,1.1808302,16.277978,19.110401,0
20729887.14,,5905,4.42345,4.4301,-0.696,9.3E-6,4.3687929,0.04071809,82.240439,0.6892,1.7635881,0.005731,2.8066845,0.00619,0.49647859,0.64150772,0.0082642999,94.693892,294.80047,1.162,1,,,,4.4094446E-6,1.1826578,19.086351,18.824522,0
20729913.3,,5905,4.42145,4.4285,-0.696,9.4E-6,4.3684283,0.042762605,82.197004,0.6803,1.763354,0.005729,2.8058995,0.006032,0.7021477,0.63140008,0.0075050968,95.089358,294.82779,1.148,1,,,,4.4759992E-6,1.2830154,19.083166,18.81615,0
20729938.86,,5905,4.42332,4.4331,-0.696,9.4E-6,4.3698965,0.042590573,82.778276,0.6887,1.7653073,0.005745,2.8152254,0.00614,1.2325772,0.65356706,0.0081906607,94.839396,294.23493,1.152,1,,,,4.3404945E-6,1.2628002,19.095995,18.942846,0
20730154.59,,5905,4.7837,4.806,-0.696,9.3E-6,4.7234223,0.044287886,91.453689,0.8895,2.2118105,0.008495,3.3717632,0.008954,0.71442509,0.71199907,0.009482377,94.351564,307.64624,1.394,1,,,,4.7696372E-6,1.3071341,22.310718,19.361743,0
20730183.48,,5905,4.78314,4.8023,-0.696,9.4E-6,4.7244717,0.046624649,91.292778,0.878,2.2132304,0.008499,3.3711422,0.008779,1.35503,0.68345934,0.0071185177,95.538013,307.89528,1.381,1,,,,4.9599347E-6,1.4239981,22.320633,19.323383,0
20730209.75,,5905,4.78833,4.8122,-0.696,9.3E-6,4.7262998,0.045849976,92.349771,0.936,2.2161575,0.008509,3.3874756,0.009638,0.27142776,0.74106316,0.011694268,93.373626,306.83477,1.442,1,,,,4.6105153E-6,1.3669187,22.337909,19.53955,0
20730427.41,,5905,5.1789,5.2017,-0.696,9.4E-6,5.1162101,0.048386704,104.36607,1.094,2.7535907,0.009951,4.0773175,0.01145,0.15529588,0.73928709,0.0067193439,95.985545,318.87748,1.542,1,,,,5.5397383E-6,1.4821263,26.175606,20.399098,0
20730453.56,,5905,5.17812,5.2078,-0.696,9.3E-6,5.1116813,0.048748932,105.39732,1.031,2.7477242,0.009932,4.0845309,0.01041,1.4416757,0.79266496,0.01165781,93.651612,317.55272,1.446,1,,,,5.190888E-6,1.4785742,26.129286,20.618915,0
20730481.88,,5905,5.18234,5.2085,-0.696,9.3E-6,5.1199509,0.051178125,107.48479,1.19,2.7552064,0.009956,4.1184894,0.01276,0.088590364,0.78798432,0.01107561,93.951038,315.99392,1.602,1,,,,5.2640148E-6,1.5853299,26.213897,20.993324,0
20730698.97,,5905,5.60573,5.6423,-0.696,9.1E-6,5.5332656,0.051058085,126.32665,1.327,3.4251508,0.01303,5.0274146,0.01391,0.14384884,0.82948253,0.010970957,94.189494,323.60245,1.569,1,,,,6.0993947E-6,1.5759686,30.617028,22.830397,0
20730728.25,,5905,5.60744,5.6404,-0.696,9.4E-6,5.536787,0.053217292,121.60806,1.876,3.4318874,0.01306,4.9743031,0.02197,0.026985932,0.84415643,0.014949215,92.238202,327.94345,2.187,1,,,,5.9411745E-6,1.6589651,30.656011,21.963652,0
20730758.27,,5905,5.60442,5.6467,-0.696,9.3E-6,5.5315161,0.054964152,128.1555,1.889,3.4249231,0.01303,5.0503832,0.02195,0.11708984,0.95676262,0.034565594,85.346571,321.95393,2.07,1,,,,5.3760839E-6,1.6883129,30.59767,23.168242,0
20731013.56,,5905,6.07714,6.0852,-0.696,9.4E-6,5.9890387,0.059184544,140.42063,1.599,4.264734,0.01701,6.0457588,0.01733,1.5684729,0.9258563,0.011388308,94.356109,338.12356,1.756,1,,,,6.5642313E-6,1.9135252,35.868585,23.446272,0
20731042.08,,5905,6.07714,6.0852,-0.696,9.4E-6,5.9885837,0.058212291,140.09598,1.605,4.2636832,0.01701,6.0405902,0.01743,0.83652155,0.92642281,0.011461578,94.320363,338.35883,1.766,1,,,,6.554741E-6,1.8517126,35.863135,23.393841,0
20731070.88,,5905,6.07718,6.0856,-0.696,9.3E-6,5.9887561,0.058332177,139.3989,1.595,4.2639379,0.01701,6.0320036,0.01731,2.1211678,0.92383937,0.009829755,95.073706,338.93165,1.767,1,,,,6.5586584E-6,1.8528456,35.8652,23.276771,0
20731298.89,,5905,6.57867,6.5878,-0.696,9.4E-6,6.4806366,0.059552031,166.05401,1.965,5.2708511,0.02109,7.3769968,0.02158,1.4331709,1.024821,0.013758171,93.761375,345.98966,1.855,1,,,,7.2379018E-6,1.8476787,41.99865,25.623102,0
20731327.17,,5905,6.5791,6.5877,-0.696,9.4E-6,6.4827739,0.062972648,167.07966,1.969,5.2761349,0.02111,7.3952894,0.0216,0.98120077,1.0207828,0.011788405,94.605219,345.39411,1.846,1,,,,7.2790449E-6,2.049642,42.026358,25.772865,0
20731355.75,,5905,6.5789,6.588,-0.696,9.3E-6,6.4828366,0.062882508,166.02657,1.97,5.2764133,0.02112,7.3822109,0.02166,1.1600246,1.023791,0.01401029,93.644003,346.12619,1.86,1,,,,7.2510414E-6,2.0415657,42.027171,25.610173,0
20731584.48,,5905,7.12104,7.1333,-0.696,9.3E-6,7.0162323,0.064220686,200.58641,2.67,6.5201696,0.03014,9.0643069,0.03034,2.4833797,1.135212,0.015379601,93.647743,351.72093,2.079,1,,,,8.0279393E-6,2.0475819,49.227516,28.588906,0
20731613.25,,5905,7.12165,7.1332,-0.696,9.4E-6,7.0187166,0.068259193,200.49712,2.676,6.5272764,0.03021,9.0702812,0.03042,2.5801724,1.1294623,0.013456114,94.374338,351.89769,2.085,1,,,,8.0687034E-6,2.2704239,49.262383,28.566066,0
20731642.45,,5905,7.12202,7.1335,-0.696,9.4E-6,7.0189871,0.068081252,199.88328,2.675,6.5279485,0.03021,9.0631677,0.03043,1.6114573,1.1301786,0.014050927,94.133891,352.27113,2.092,1,,,,8.0588325E-6,2.2589247,49.266181,28.477511,0
20731877.58,,5905,7.71032,7.7235,-0.696,9.4E-6,7.594871,0.069233764,242.22986,3.305,8.0271101,0.03741,11.099432,0.03777,1.5157326,1.2532989,0.016413101,93.800422,357.52503,2.157,1,,,,8.9016182E-6,2.2603572,57.682066,31.893874,0
