[Header]
TITLE,addenda_25-06-02.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
20599544.67,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1218.cal
20599544.88,,5905,2.00174,1.9923,0.588,9.3E-6,1.9760065,0.020952621,,0,0.18901253,0.001515,0.18901253,0.001515,30.203156,0.11806737,,,,,1,,,,1.600887E-6,0.23085465,3.9046015,,0
20599895.83,,5905,2.25907,2.2539,0.588,9.3E-6,2.2286471,0.020733319,,0,0.26325884,0.001354,0.26325884,0.001354,10.661551,0.12817318,,,,,1,,,,2.0539308E-6,0.23613475,4.9668679,,0
20600221.13,,5905,2.55072,2.5445,0.588,9.3E-6,2.516726,0.021601465,,0,0.36375816,0.001684,0.36375816,0.001684,33.935317,0.15269577,,,,,1,,,,2.3822412E-6,0.25634636,6.3339098,,0
20600560.48,,5905,2.87921,2.8752,0.588,9.3E-6,2.8379266,0.024038749,,0,0.50615177,0.002147,0.50615177,0.002147,13.837744,0.18637201,,,,,1,,,,2.7158143E-6,0.30539155,8.0538273,,0
20600909.83,,5905,3.24983,3.2478,0.588,9.3E-6,3.2009548,0.026925341,,0,0.71248146,0.002918,0.71248146,0.002918,5.4808769,0.22812491,,,,,1,,,,3.1232076E-6,0.37274402,10.246111,,0
20601545.52,,5905,3.6655,3.6648,0.588,9.4E-6,3.6108012,0.030095509,,0,1.0118859,0.003776,1.0118859,0.003776,15.160387,0.27931978,,,,,1,,,,3.6226791E-6,0.45624982,13.037885,,0
20602048.58,,5905,4.14392,4.144,0.588,9.3E-6,4.0832018,0.033909589,,0,1.4344785,0.003399,1.4344785,0.003399,3.317922,0.3553361,,,,,1,,,,4.0369625E-6,0.55863956,16.672537,,0
20602446.72,,5905,4.67421,4.6922,0.588,9.3E-6,4.6063149,0.039130543,,0,2.0534544,0.007837,2.0534544,0.007837,3.616282,0.42270155,,,,,1,,,,4.8579297E-6,0.71067221,21.218137,,0
20602676.34,,5905,5.26888,5.2859,0.588,9.4E-6,5.1922093,0.043549387,,0,2.8580595,0.01033,2.8580595,0.01033,3.0577881,0.50431502,,,,,1,,,,5.6672108E-6,0.84540309,26.959038,,0
20602912.41,,5905,5.94833,5.9683,0.588,9.4E-6,5.8601401,0.04878633,,0,4.0087086,0.01592,4.0087086,0.01592,3.7872527,0.60525382,,,,,1,,,,6.6231859E-6,1.00863,34.341242,,0
20603155.03,,5905,6.71568,6.7338,0.588,9.4E-6,6.6172025,0.054957256,,0,5.5583126,0.02259,5.5583126,0.02259,9.7350284,0.71116871,,,,,1,,,,7.815744E-6,1.2105076,43.787369,,0
20603402.41,,5905,7.58069,7.6025,0.588,9.4E-6,7.4694786,0.061411291,,0,7.6666814,0.03716,7.6666814,0.03716,8.0750585,0.83234916,,,,,1,,,,9.2108959E-6,1.4223374,55.793111,,0
20603656.69,,5905,8.55859,8.5798,0.588,9.3E-6,8.4304887,0.071966829,,0,10.426051,0.03159,10.426051,0.03159,4.8796522,0.98832164,,,,,1,,,,1.0549249E-5,1.6646983,71.07314,,0
20603919.39,,5905,9.66035,9.6845,0.588,9.4E-6,9.5152788,0.081340023,,0,14.134233,0.05133,14.134233,0.05133,5.1443705,1.1496203,,,,,1,,,,1.2294697E-5,1.9766433,90.54053,,0
20604187.17,,5905,10.9048,10.931,0.588,9.4E-6,10.74104,0.091686264,,0,18.944343,0.0771,18.944343,0.0771,6.7698943,1.318288,,,,,1,,,,1.4370413E-5,2.2992407,115.36995,,0
20604466.8,,5905,12.3115,12.3392,0.588,9.4E-6,12.130424,0.10583883,,0,25.332157,0.08092,25.332157,0.08092,16.060296,1.5413529,,,,,1,,,,1.6435014E-5,2.6365761,147.14718,,0
20604753.59,,5905,13.8957,13.9277,0.588,9.4E-6,13.695748,0.11950811,,0,33.737004,0.1186,33.737004,0.1186,15.770308,1.7715419,,,,,1,,,,1.9043864E-5,3.0827058,187.5735,,0
20605051.41,,5905,15.6887,15.7176,0.588,9.4E-6,15.463343,0.13401373,,0,44.637542,0.1835,44.637542,0.1835,23.993807,2.0405647,,,,,1,,,,2.1875092E-5,3.5430839,239.11496,,0
