[Header]
TITLE,H20250619(ISISA HPHT 475C 6GPa 3.5h YBCO7).dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,17.43,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,666.22,MOLWGHT:Formula Weight (g/mole)
INFO,13,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (�J/K)
22042974.38,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1171.cal|Addenda #164 measured on 6/19/2025 from 1.987 to 298.1 K
22042974.48,,5905,2.00194,1.9914,0.325,9.4E-6,2.0328065,0.023512777,57.410472,0.3436,0.30901853,0.0009859,1.8110217,0.002557,3.2310744,1.1144749,0.0049695849,96.809057,154.63011,0.3838,1,,,,1.6620114E-6,2.2308313,4.1323022,28.241976,0
22043003.5,,5905,2.00163,1.9911,0.325,9.4E-6,2.0329146,0.023670484,57.431198,0.35,0.30909245,0.0009861,1.8116378,0.00309,0.48653271,1.1369057,0.0050252908,96.837059,154.61973,0.4019,1,,,,1.6294459E-6,2.2289498,4.1327419,28.250669,0
22043036.91,,5905,2.00126,1.9911,0.325,9.4E-6,2.0335952,0.023780697,56.739085,0.3439,0.3093254,0.0009867,1.7937633,0.002905,0.74648788,1.078235,0.0045780575,96.989811,155.29786,0.3986,1,,,,1.6991249E-6,2.2738114,4.1355094,27.900875,0
22043325.59,,5905,2.1668,2.1593,0.325,9.1E-6,2.1947465,0.024905955,59.021497,0.3466,0.38234578,0.001258,1.9264974,0.00194,2.9695049,1.0755539,0.0050787661,97.00461,165.41544,0.386,1,,,,1.8268733E-6,2.1564699,4.816912,26.892171,0
22043354.97,,5905,2.16652,2.159,0.325,9.1E-6,2.1945758,0.025088075,58.891044,0.3526,0.38229547,0.001258,1.9230341,0.002635,2.7475852,1.0942116,0.0051826168,96.999291,165.52462,0.4112,1,,,,1.7925303E-6,2.1511079,4.8161631,26.834819,0
22043383.94,,5905,2.16633,2.1588,0.325,9.4E-6,2.1943534,0.025097879,59.115471,0.3479,0.38216684,0.001257,1.928777,0.002025,1.9226299,1.0763075,0.0050421967,97.024663,165.29813,0.3887,1,,,,1.8275356E-6,2.1884232,4.8151869,26.939813,0
22043688.81,,5905,2.35147,2.3194,0.325,9.1E-6,2.3768762,0.0268181,60.084881,0.405,0.47471349,0.001878,2.0466859,0.00556,0.81463657,1.0078206,0.0050899809,97.149102,178.07922,0.5503,1,,,,2.0661413E-6,2.152615,5.6495404,25.278928,0
22043717.55,,5905,2.3492,2.3182,0.325,9.1E-6,2.3731353,0.025459131,61.911166,0.3966,0.47264055,0.001861,2.0923932,0.004616,0.12596355,1.0233924,0.004362888,97.549256,176.03321,0.5039,1,,,,2.0754809E-6,2.0156412,5.631771,26.088343,0
22043745.88,,5905,2.34598,2.32,0.325,9.3E-6,2.3695298,0.025293574,62.262998,0.5613,0.47069032,0.001845,2.0996478,0.01133,0.0072172301,1.0083844,0.0045471009,97.39246,175.43407,0.7401,1,,,,2.115899E-6,2.0467848,5.6146715,26.27652,0
22044078.61,,5905,2.54841,2.4996,0.325,9.3E-6,2.5691803,0.027032345,64.481794,0.4949,0.59056703,0.002515,2.2775738,0.008599,3.406775,0.97993146,0.0032093753,98.291674,188.00844,0.678,1,,,,2.3464535E-6,2.0167688,6.6006874,25.098197,0
22044110.39,,5905,2.54693,2.4948,0.325,9.3E-6,2.5675411,0.027353621,61.901664,0.421,0.5894816,0.002512,2.2089857,0.005914,0.11848482,0.97421704,0.0034915619,98.165283,190.46349,0.5958,1,,,,2.2903085E-6,1.9598629,6.5922671,24.109318,0
22044139.45,,5905,2.54551,2.4983,0.325,9.3E-6,2.5643762,0.027805187,60.236881,0.5562,0.58742009,0.002506,2.1633692,0.0114,0.026536532,0.98296226,0.004179077,97.847278,191.96528,0.8276,1,,,,2.2266735E-6,1.9484341,6.5760253,23.489877,0
22047385.34,,5905,2.74842,2.7458,0.325,9.1E-6,2.7576053,0.028915629,66.537657,0.4024,0.72971036,0.002699,2.4705037,0.003329,1.3033866,1.0391793,0.0053420484,97.529761,199.69694,0.5095,1,,,,2.4074133E-6,1.9659245,7.6043869,24.128782,0
22047414.52,,5905,2.7485,2.7461,0.325,9.3E-6,2.7579773,0.029788425,66.852185,0.4039,0.7301047,0.002699,2.4791269,0.00331,1.4899409,1.0451548,0.005535894,97.450201,199.41016,0.5075,1,,,,2.4030768E-6,2.0783587,7.606439,24.23957,0
22047444.2,,5905,2.74847,2.7459,0.325,9.3E-6,2.7579852,0.029846362,66.853401,0.4042,0.73009615,0.002699,2.4791502,0.003337,1.7145809,1.0394759,0.0052852834,97.552348,199.40952,0.5085,1,,,,2.4149396E-6,2.0903095,7.6064821,24.239942,0
22047757.91,,5905,2.97508,2.9749,0.325,9.3E-6,2.9801225,0.031548989,70.347668,0.4274,0.92999092,0.002864,2.7704638,0.003681,1.7167521,1.0623925,0.0056457981,97.623034,211.84229,0.5467,1,,,,2.6359322E-6,2.0789518,8.8811301,23.60563,0
22047787.39,,5905,2.97506,2.9751,0.325,9.1E-6,2.9801741,0.031934828,70.237685,0.4258,0.93006245,0.002864,2.7676579,0.003598,1.6168389,1.0573083,0.0054622083,97.690414,211.95647,0.544,1,,,,2.6450697E-6,2.1247849,8.8814374,23.568316,0
22047817.2,,5905,2.97487,2.9749,0.325,9.3E-6,2.9800776,0.03176937,70.32186,0.4258,0.9299315,0.002864,2.7697292,0.003562,1.0490978,1.0527243,0.0053290412,97.735771,211.86501,0.5423,1,,,,2.6580433E-6,2.1146167,8.8808626,23.597325,0
22048139.22,,5905,3.22017,3.2235,0.325,9.3E-6,3.223621,0.033363493,74.676028,0.4489,1.1921682,0.003131,3.145882,0.003507,1.2220987,1.0910903,0.0059681175,97.687721,224.63608,0.5644,1,,,,2.9097143E-6,2.1054485,10.391732,23.165263,0
22048168.25,,5905,3.22023,3.2238,0.325,9.1E-6,3.2238359,0.034103447,74.700502,0.4496,1.1925317,0.003131,3.1468857,0.003557,1.0490423,1.0946931,0.0061726644,97.61669,224.62652,0.5663,1,,,,2.9018989E-6,2.1821806,10.393118,23.171311,0
22048197.44,,5905,3.22012,3.2236,0.325,9.4E-6,3.2237043,0.034209287,74.629245,0.4496,1.1923877,0.003131,3.1448775,0.00359,1.3750294,1.0944082,0.0060480349,97.664462,224.68881,0.5678,1,,,,2.9002236E-6,2.1893863,10.392269,23.150152,0
22048523.98,,5905,3.48589,3.4913,0.325,9.1E-6,3.484982,0.035618422,81.153764,0.4975,1.5150003,0.003968,3.638188,0.004585,2.0298323,1.1537406,0.0068382406,97.579447,236.20704,0.6221,1,,,,3.1801851E-6,2.1888164,12.145099,23.28671,0
22048554.42,,5905,3.48612,3.4914,0.325,9.4E-6,3.4857035,0.036740568,81.179428,0.4965,1.5161234,0.003971,3.6399825,0.0045,1.4483503,1.1511152,0.0067586308,97.602187,236.23104,0.6189,1,,,,3.1887409E-6,2.3074813,12.150129,23.289252,0
22048584.63,,5905,3.48612,3.4912,0.325,9.4E-6,3.4859895,0.036742211,80.830883,0.4959,1.5164538,0.003972,3.6311941,0.004595,0.8977019,1.144278,0.0062657451,97.76446,236.58951,0.6241,1,,,,3.1980975E-6,2.3022305,12.152123,23.187357,0
22048915.97,,5905,3.77261,3.7826,0.325,9.4E-6,3.7674929,0.037857884,88.632591,0.5486,1.933835,0.004442,4.2526877,0.005384,0.63471827,1.2212308,0.007161818,97.656992,247.9609,0.6664,1,,,,3.5072842E-6,2.2885559,14.194003,23.525616,0
22048945.77,,5905,3.77321,3.7832,0.325,9.3E-6,3.7689317,0.039439289,88.121573,0.5436,1.9364319,0.00444,4.2419151,0.005224,0.60234114,1.2108305,0.0067353572,97.778112,248.53416,0.6633,1,,,,3.5269586E-6,2.4424616,14.204846,23.381048,0
22048975.94,,5905,3.77341,3.7833,0.325,9.4E-6,3.7689934,0.039174709,88.601798,0.5457,1.9365152,0.00444,4.2545623,0.005193,1.1936016,1.2165259,0.0069216852,97.72657,248.08839,0.66,1,,,,3.5215955E-6,2.421661,14.205311,23.50808,0
22049318.41,,5905,4.08489,4.0954,0.325,9.4E-6,4.0758307,0.040312459,98.081702,0.6049,2.471976,0.004836,5.0380414,0.005804,1.8082269,1.3106789,0.0083460713,97.482548,259.3475,0.6918,1,,,,3.8697594E-6,2.4330518,16.612396,24.064224,0
22049351.78,,5905,4.08457,4.0951,0.325,9.3E-6,4.076806,0.042377316,97.697851,0.5985,2.4708966,0.004832,5.0269194,0.005488,1.6150628,1.2885726,0.0062263637,98.084394,259.74885,0.683,1,,,,3.9209477E-6,2.6213577,16.620348,23.964312,0
22049382.83,,5905,4.08482,4.0957,0.325,9.4E-6,4.0764978,0.041742952,98.117698,0.6109,2.4734339,0.004841,5.0404411,0.006206,0.35439128,1.2998904,0.0075704382,97.695233,259.35822,0.7052,1,,,,3.9014556E-6,2.5771452,16.617834,24.069116,0
22050554.28,,5905,4.42776,4.4368,0.325,9.3E-6,4.4193799,0.042903934,111.31308,0.7556,3.1277468,0.009282,6.0399785,0.01056,0.84927076,1.4107237,0.0094562202,97.353034,269.59254,0.8411,1,,,,4.3087219E-6,2.5997808,19.530919,25.187489,0
