[Header]
TITLE,H241008(P240917-KClO3).dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,6.81,MASS:Sample Mass (mg)
INFO,0.05,MASSERR:Sample Mass Error (mg)
INFO,666.22,MOLWGHT:Formula Weight (g/mole)
INFO,13,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
1597196.2,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck1171.cal|Addenda #159 measured on 07/10/24 from 2.1315 to 299.29 K
1597196.44,,5905,2.00831,1.9461,0.619,9.4E-6,2.0342951,0.023358698,92.656472,0.7062,0.21622209,0.001033,1.1633425,0.001937,0.62327201,0.71877529,0.0047239225,95.588641,131.92202,0.4132,1,,,,1.6683523E-6,1.4365079,4.1383565,45.547213,0
1597222.61,,5905,2.0071,1.9447,0.619,9.4E-6,2.0331121,0.023369543,92.567454,0.7086,0.21592936,0.001032,1.1621399,0.002049,1.169793,0.71863831,0.0047459006,95.565751,131.88755,0.4184,1,,,,1.6672247E-6,1.4375506,4.1335449,45.529931,0
1597249.02,,5905,2.00512,1.9432,0.619,9.4E-6,2.0308618,0.023350061,92.836625,0.7103,0.21537734,0.00103,1.1643393,0.002041,0.39604447,0.72501659,0.004781943,95.55542,131.61412,0.4169,1,,,,1.6559069E-6,1.4372766,4.1243995,45.712922,0
1601974.53,,5905,2.27224,2.2499,0.619,9.3E-6,2.2885101,0.026674906,96.316736,0.7265,0.29021986,0.001307,1.274755,0.001702,1.7109236,0.68251529,0.0050409679,95.760704,146.50333,0.4435,1,,,,1.9174286E-6,1.4500332,5.2372787,42.087092,0
1602000,,5905,2.27262,2.2501,0.619,9.3E-6,2.2882741,0.025640164,96.193257,0.7266,0.29009149,0.001307,1.2733644,0.001743,1.2249145,0.68150877,0.0050239375,95.77091,146.55087,0.4458,1,,,,1.918021E-6,1.3650306,5.2361982,42.037472,0
1602025.86,,5905,2.2727,2.2505,0.619,9.4E-6,2.2882552,0.025654466,96.160949,0.727,0.29009268,0.001307,1.2730353,0.001773,3.2856022,0.68511386,0.0051520663,95.685818,146.56607,0.4474,1,,,,1.9084721E-6,1.3630175,5.2361117,42.0237,0
1602363.05,,5905,2.58773,2.5686,0.619,9.3E-6,2.5984786,0.02904171,101.17698,0.7755,0.40962344,0.001842,1.4438393,0.002277,1.1131844,0.66142483,0.0056530718,95.785899,163.63913,0.5211,1,,,,2.2326322E-6,1.3702277,6.7520911,38.937009,0
1602388.97,,5905,2.58706,2.5678,0.619,9.4E-6,2.5974992,0.028367455,101.02125,0.7743,0.40914774,0.00184,1.4417717,0.002271,0.95396896,0.65784326,0.0055446849,95.84508,163.66146,0.5211,1,,,,2.240825E-6,1.3228497,6.7470019,38.891736,0
1602414.77,,5905,2.58655,2.5676,0.619,9.4E-6,2.5969055,0.028290716,100.98512,0.7762,0.40889127,0.001839,1.4411458,0.002348,1.3111687,0.66060639,0.0056184571,95.806783,163.64357,0.5251,1,,,,2.230966E-6,1.3156865,6.7439184,38.886711,0
1602762.83,,5905,2.93882,2.9273,0.619,9.3E-6,2.9436863,0.031376912,108.34637,0.8543,0.58178235,0.00254,1.6892825,0.003184,1.2915028,0.66221217,0.0062898439,95.81507,181.19603,0.6174,1,,,,2.5993265E-6,1.3212128,8.6652892,36.806356,0
1602788.66,,5905,2.93847,2.9271,0.619,9.4E-6,2.9433207,0.031424304,108.45489,0.8515,0.5815802,0.002539,1.6901897,0.003083,1.2782725,0.66335241,0.00622357,95.864188,181.11307,0.6115,1,,,,2.5956991E-6,1.3244243,8.6631369,36.847799,0
1602814.56,,5905,2.93802,2.9268,0.619,9.4E-6,2.942893,0.031451895,108.4063,0.8538,0.5813394,0.002538,1.6894522,0.003159,1.6394637,0.66269132,0.0062401851,95.849124,181.11381,0.6157,1,,,,2.597337E-6,1.3267048,8.6606192,36.836644,0
1603175.38,,5905,3.33858,3.3346,0.619,9.4E-6,3.3409806,0.034121752,119.47759,0.951,0.84082889,0.003396,2.0621107,0.003754,1.1531393,0.69067824,0.0072882385,95.684132,199.0553,0.6914,1,,,,3.0333793E-6,1.3253826,11.162151,35.761234,0
1603201.34,,5905,3.33809,3.3343,0.619,9.4E-6,3.3409992,0.035094554,119.43425,0.9496,0.84095858,0.003397,2.0617974,0.003725,2.2586496,0.69302389,0.0074582402,95.599906,199.08048,0.69,1,,,,3.0236144E-6,1.3813565,11.162276,35.748062,0
1603227.45,,5905,3.33766,3.3338,0.619,9.3E-6,3.3406609,0.035152743,119.38838,0.9509,0.84069529,0.003396,2.0610653,0.003768,2.2854049,0.69022337,0.0072575627,95.69981,199.08581,0.6924,1,,,,3.0336336E-6,1.3860478,11.160015,35.737954,0
1603601.94,,5905,3.79035,3.794,0.619,9.4E-6,3.7873261,0.037227857,135.56119,1.114,1.2188027,0.004604,2.6044887,0.005119,1.6478364,0.74465541,0.0085773944,95.462421,216.34633,0.7959,1,,,,3.5451908E-6,1.3804467,14.343839,35.793377,0
